Reporting starts,Reporting ends,Ad name,Ad delivery,Attribution setting,Results,Result indicator,Reach,Frequency,Cost per results,Ad set budget,Ad set budget type,Amount spent (USD),Ends,Quality ranking,Engagement rate ranking,Conversion rate ranking,Impressions,"CPM (cost per 1,000 impressions) (USD)",Link clicks,shop_clicks,CPC (cost per link click) (USD),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all) (USD),Landing page views,Cost per landing page view (USD)
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,1,1.0,,62,Daily,0.04,Ongoing,-,-,-,1,40.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,5,1.2,,31,Daily,0.35,Ongoing,-,-,-,6,58.333333,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,1,1.0,,62,Daily,0.0,Ongoing,-,-,-,1,0.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,3,1.0,,62,Daily,0.07,Ongoing,-,-,-,3,23.333333,1.0,,0.07,33.333333,1,33.333333,0.07,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,6,1.166667,,31,Daily,0.36,Ongoing,-,-,-,7,51.428571,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,29,1.448276,,31,Daily,4.48,Ongoing,-,-,-,42,106.666667,1.0,,4.48,2.380952,2,4.761905,2.24,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,1,1.0,,31,Daily,0.1,Ongoing,-,-,-,1,100.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,5,1.0,,62,Daily,0.27,Ongoing,-,-,-,5,54.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,2,1.0,,31,Daily,0.08,Ongoing,-,-,-,2,40.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,1,1.0,,31,Daily,0.04,Ongoing,-,-,-,1,40.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,8,1.375,,31,Daily,3.28,Ongoing,-,-,-,11,298.181818,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,331,2.060423,,31,Daily,43.9,Ongoing,-,-,-,682,64.369501,16.0,,2.74375,2.346041,20,2.932551,2.195,1.0,43.9
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,105,1.066667,,62,Daily,6.48,Ongoing,-,-,-,112,57.857143,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,3,1.333333,,31,Daily,0.4,Ongoing,-,-,-,4,100.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy 2,archived,"7-day click, 1-day view, or 1-day engaged-view",,,177,1.045198,,62,Daily,9.79,Ongoing,-,-,-,185,52.918919,1.0,,9.79,0.540541,4,2.162162,2.4475,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,20,1.0,,62,Daily,0.55,Ongoing,-,-,-,20,27.5,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,2,1.0,,62,Daily,10.07,Ongoing,-,-,-,2,5035.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,3,1.0,,62,Daily,0.09,Ongoing,-,-,-,3,30.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,1,1.0,,62,Daily,0.0,Ongoing,-,-,-,1,0.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy 2,archived,"7-day click, 1-day view, or 1-day engaged-view",,,1,1.0,,31,Daily,0.1,Ongoing,-,-,-,1,100.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy 2,archived,"7-day click, 1-day view, or 1-day engaged-view",,,4,1.25,,31,Daily,0.36,Ongoing,-,-,-,5,72.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy 3,archived,"7-day click, 1-day view, or 1-day engaged-view",,,1,1.0,,62,Daily,0.12,Ongoing,-,-,-,1,120.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy 3,archived,"7-day click, 1-day view, or 1-day engaged-view",,,3,1.0,,31,Daily,0.06,Ongoing,-,-,-,3,20.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy 4,archived,"7-day click, 1-day view, or 1-day engaged-view",,,2,1.5,,31,Daily,0.26,Ongoing,-,-,-,3,86.666667,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy 4,archived,"7-day click, 1-day view, or 1-day engaged-view",,,1,1.0,,62,Daily,0.0,Ongoing,-,-,-,1,0.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy 4,archived,"7-day click, 1-day view, or 1-day engaged-view",,,1,1.0,,31,Daily,0.01,Ongoing,-,-,-,1,10.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,1,1.0,,31,Daily,0.2,Ongoing,-,-,-,1,200.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,2,1.0,,31,Daily,0.05,Ongoing,-,-,-,2,25.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,7,1.0,,62,Daily,0.2,Ongoing,-,-,-,7,28.571429,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,1,1.0,,62,Daily,0.0,Ongoing,-,-,-,1,0.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,2,2.0,,31,Daily,0.07,Ongoing,-,-,-,4,17.5,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,3,1.0,,31,Daily,0.08,Ongoing,-,-,-,3,26.666667,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,6,1.5,,31,Daily,0.17,Ongoing,-,-,-,9,18.888889,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,4,1.75,,31,Daily,0.99,Ongoing,-,-,-,7,141.428571,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,POST 7 - Companies are not hiring,archived,7-day click or 1-day view,,,231,1.034632,,Using campaign budget,0,7.87,Ongoing,-,-,-,239,32.92887,2.0,,3.935,0.83682,7,2.92887,1.124286,,
2025-08-13,2026-02-16,POST 3,archived,7-day click or 1-day view,2.0,actions:post_engagement,6,1.0,0.0,Using campaign budget,0,0.0,Ongoing,-,-,-,6,0.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,POST 5,archived,7-day click or 1-day view,,,2,1.0,,Using campaign budget,0,0.0,Ongoing,-,-,-,2,0.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,POST 2,inactive,7-day click or 1-day view,307265.0,actions:post_engagement,341225,1.105379,0.00664469,Using campaign budget,0,2041.68,Ongoing,-,-,-,377183,5.412969,835.0,,2.445126,0.221378,4760,1.261987,0.428924,,
2025-08-13,2026-02-16,POST 1,inactive,7-day click or 1-day view,3713.0,actions:post_engagement,5204,1.011722,0.00883921,Using campaign budget,0,32.82,Ongoing,-,-,-,5265,6.233618,5.0,,6.564,0.094967,28,0.531814,1.172143,,
2025-08-13,2026-02-16,POST 3,inactive,7-day click or 1-day view,86.0,actions:post_engagement,110,1.036364,0.00244186,Using campaign budget,0,0.21,Ongoing,-,-,-,114,1.842105,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,POST 4,inactive,7-day click or 1-day view,10.0,actions:post_engagement,18,1.0,0.004,Using campaign budget,0,0.04,Ongoing,-,-,-,18,2.222222,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,AD 1,not_delivering,7-day click or 1-day view,48.0,actions:omni_landing_page_view,5432,1.09757,0.93208333,20,Daily,44.74,Ongoing,-,-,-,5962,7.504193,54.0,,0.828519,0.905736,179,3.002348,0.249944,48.0,0.932083
2025-08-13,2026-02-16,AD 2,not_delivering,7-day click or 1-day view,80.0,actions:omni_landing_page_view,8484,1.137082,0.6345,20,Daily,50.76,Ongoing,-,-,-,9647,5.261739,87.0,,0.583448,0.901835,204,2.114647,0.248824,80.0,0.6345
2025-08-13,2026-02-16,AD 3,not_delivering,7-day click or 1-day view,52.0,actions:omni_landing_page_view,4540,1.065198,0.88423077,20,Daily,45.98,Ongoing,-,-,-,4836,9.507858,59.0,,0.779322,1.220017,177,3.66005,0.259774,52.0,0.884231
2025-08-13,2026-02-16,AD 4,not_delivering,7-day click or 1-day view,74.0,actions:omni_landing_page_view,6045,1.053598,0.59054054,20,Daily,43.7,Ongoing,-,-,-,6369,6.86136,82.0,,0.532927,1.287486,289,4.537604,0.151211,74.0,0.590541
2025-08-13,2026-02-16,AD 5,not_delivering,7-day click or 1-day view,60.0,actions:omni_landing_page_view,5514,1.07218,0.74333333,20,Daily,44.6,Ongoing,-,-,-,5912,7.543978,65.0,,0.686154,1.099459,219,3.70433,0.203653,60.0,0.743333
2025-08-13,2026-02-16,AD 6,not_delivering,7-day click or 1-day view,78.0,actions:omni_landing_page_view,6163,1.04673,0.56589744,20,Daily,44.14,Ongoing,-,-,-,6451,6.84235,89.0,,0.495955,1.379631,331,5.130987,0.133353,78.0,0.565897
2025-08-13,2026-02-16,AD 8,not_delivering,7-day click or 1-day view,84.0,actions:omni_landing_page_view,6597,1.122328,0.53797619,20,Daily,45.19,Ongoing,-,-,-,7404,6.103458,95.0,,0.475684,1.28309,305,4.119395,0.148164,84.0,0.537976
2025-08-13,2026-02-16,AD 7,not_delivering,7-day click or 1-day view,88.0,actions:omni_landing_page_view,7891,1.014067,0.41227273,20,Daily,36.28,Ongoing,-,-,-,8002,4.533867,97.0,,0.374021,1.212197,121,1.512122,0.299835,88.0,0.412273
2025-08-13,2026-02-16,POST 5,inactive,7-day click or 1-day view,44.0,actions:post_engagement,59,1.0,0.00181818,Using campaign budget,0,0.08,Ongoing,-,-,-,59,1.355932,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,POST 6,inactive,7-day click or 1-day view,113.0,actions:post_engagement,152,1.0,0.00292035,Using campaign budget,0,0.33,Ongoing,-,-,-,152,2.171053,1.0,,0.33,0.657895,1,0.657895,0.33,,
2025-08-13,2026-02-16,CONVERSION AD 1,not_delivering,"7-day click, 1-day view, or 1-day engaged-view",1.0,conversions:offsite_conversion.fb_pixel_custom.Hyros Call,3526,1.632728,400.42,200,Daily,400.42,Ongoing,-,-,-,5757,69.553587,261.0,,1.534176,4.533611,263,4.568352,1.52251,,
2025-08-13,2026-02-16,CONVERSION AD 4,not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,3629,1.942133,,200,Daily,388.04,Ongoing,-,-,-,7048,55.056754,166.0,,2.33759,2.355278,218,3.093076,1.78,,
2025-08-13,2026-02-16,CONVERSION AD 2,not_delivering,"7-day click, 1-day view, or 1-day engaged-view",6.0,conversions:offsite_conversion.fb_pixel_custom.Hyros Call,16813,1.802474,223.455,200,Daily,1340.73,Ongoing,-,-,-,30305,44.241214,550.0,,2.437691,1.814882,811,2.676126,1.653181,1.0,1340.73
2025-08-13,2026-02-16,CONVERSION AD 3,not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,1968,1.636687,,200,Daily,365.28,Ongoing,-,-,-,3221,113.405775,147.0,,2.484898,4.5638,151,4.687985,2.419073,,
2025-08-13,2026-02-16,CONVERSION AD 3,not_delivering,"7-day click, 1-day view, or 1-day engaged-view",1.0,conversions:offsite_conversion.fb_pixel_custom.Hyros Call,238,1.747899,61.83,200,Daily,61.83,Ongoing,-,-,-,416,148.629808,16.0,,3.864375,3.846154,18,4.326923,3.435,,
2025-08-13,2026-02-16,CONVERSION AD 1,not_delivering,"7-day click, 1-day view, or 1-day engaged-view",3.0,conversions:offsite_conversion.fb_pixel_custom.Hyros Call,1779,2.379989,163.43666667,200,Daily,490.31,Ongoing,-,-,-,4234,115.803023,215.0,,2.280512,5.07794,215,5.07794,2.280512,,
2025-08-13,2026-02-16,CONVERSION AD 2,not_delivering,"7-day click, 1-day view, or 1-day engaged-view",8.0,conversions:offsite_conversion.fb_pixel_custom.Hyros Call,7513,1.599627,76.0025,200,Daily,608.02,Ongoing,-,-,-,12018,50.592445,164.0,,3.707439,1.36462,274,2.279913,2.219051,1.0,608.02
2025-08-13,2026-02-16,CONVERSION AD 4,not_delivering,"7-day click, 1-day view, or 1-day engaged-view",3.0,conversions:offsite_conversion.fb_pixel_custom.Hyros Call,931,1.646617,56.05666667,200,Daily,168.17,Ongoing,-,-,-,1533,109.699935,50.0,,3.3634,3.261579,63,4.109589,2.669365,,
2025-08-13,2026-02-16,Ad 4 - Every DA Job V2,inactive,"7-day click, 1-day view, or 1-day engaged-view",9.0,conversions:schedule_website,11992,1.464726,53.34555556,Using campaign budget,0,480.11,Ongoing,-,-,-,17565,27.333333,189.0,,2.540265,1.076003,387,2.203245,1.240594,164.0,2.9275
2025-08-13,2026-02-16,Ad 2 - You already know V2,inactive,"7-day click, 1-day view, or 1-day engaged-view",6.0,conversions:schedule_website,10017,1.416991,64.82166667,Using campaign budget,0,388.93,Ongoing,-,-,-,14194,27.401015,170.0,,2.287824,1.197689,353,2.486966,1.101785,136.0,2.859779
2025-08-13,2026-02-16,Ad 3 - Bootcamp -V2,inactive,"7-day click, 1-day view, or 1-day engaged-view",37.0,conversions:schedule_website,41046,1.745286,46.20297297,Using campaign budget,0,1709.51,Ongoing,Average,-,-,71637,23.863506,654.0,,2.61393,0.912936,1432,1.998967,1.193792,564.0,3.031046
2025-08-13,2026-02-16,Ad 1  - Already Apply V2,inactive,"7-day click, 1-day view, or 1-day engaged-view",10.0,conversions:schedule_website,9339,1.376593,34.412,Using campaign budget,0,344.12,Ongoing,-,-,-,12856,26.767268,157.0,,2.191847,1.22122,303,2.356876,1.13571,139.0,2.475683
2025-08-13,2026-02-16,Ad 5 - You're so close V2,inactive,"7-day click, 1-day view, or 1-day engaged-view",1.0,conversions:schedule_website,1588,1.433879,91.01,Using campaign budget,0,91.01,Ongoing,-,-,-,2277,39.969258,21.0,,4.33381,0.922266,58,2.547211,1.569138,7.0,13.001429
2025-08-13,2026-02-16,Ad 6 - Google Certification,not_delivering,"7-day click, 1-day view, or 1-day engaged-view",27.0,conversions:schedule_website,35198,1.577789,50.6237037,Using campaign budget,0,1366.84,Ongoing,Average,-,-,55535,24.612227,613.0,,2.229755,1.103808,1244,2.240029,1.098746,512.0,2.669609
2025-08-13,2026-02-16,No Tech Experience,inactive,"7-day click, 1-day view, or 1-day engaged-view",1.0,conversions:schedule_website,1666,1.210684,71.6,Using campaign budget,0,71.6,Ongoing,Below average - Bottom 35% of ads,-,-,2017,35.498265,19.0,,3.768421,0.941993,41,2.032722,1.746341,14.0,5.114286
2025-08-13,2026-02-16,POST 1,inactive,-,,,0,0.0,,Using campaign budget,0,0.0,Ongoing,-,-,-,0,0.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,POST 3,not_delivering,-,,,0,0.0,,Using campaign budget,0,0.0,Ongoing,-,-,-,0,0.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,POST 2,inactive,-,,,0,0.0,,Using campaign budget,0,0.0,Ongoing,-,-,-,0,0.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,Teacher 1,inactive,"7-day click, 1-day view, or 1-day engaged-view",,,1,1.0,,Using campaign budget,0,0.02,Ongoing,-,-,-,1,20.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,No Tech Experience,active,"7-day click, 1-day view, or 1-day engaged-view",17.0,conversions:schedule_website,14341,1.293843,28.43176471,Using campaign budget,0,483.34,Ongoing,Below average - Bottom 35% of ads,-,-,18555,26.049043,202.0,,2.392772,1.088655,388,2.091081,1.245722,178.0,2.715393
2025-08-13,2026-02-16,Teacher 1,inactive,"7-day click, 1-day view, or 1-day engaged-view",,,636,1.171384,,Using campaign budget,0,26.54,Ongoing,Below average - Bottom 35% of ads,-,-,745,35.624161,11.0,,2.412727,1.47651,15,2.013423,1.769333,9.0,2.948889
2025-08-13,2026-02-16,Certificate,active,"7-day click, 1-day view, or 1-day engaged-view",106.0,conversions:schedule_website,116775,1.768212,46.42113208,Using campaign budget,0,4920.64,Ongoing,Average,-,-,206483,23.830727,2899.0,,1.697358,1.40399,5320,2.576483,0.924932,2617.0,1.88026
2025-08-13,2026-02-16,Ad 6 - Google Certification,active,"7-day click, 1-day view, or 1-day engaged-view",,,4752,1.254419,,Using campaign budget,0,229.3,Ongoing,Average,-,-,5961,38.4667,92.0,,2.492391,1.543365,180,3.019628,1.273889,80.0,2.86625
2025-08-13,2026-02-16,Teachers - 0226,active,"7-day click, 1-day view, or 1-day engaged-view",,,23,1.304348,,Using campaign budget,0,0.88,Ongoing,-,-,-,30,29.333333,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,Career Pivot - Tech Is New - 0226,active,"7-day click, 1-day view, or 1-day engaged-view",,,107,1.121495,,Using campaign budget,0,3.61,Ongoing,-,-,-,120,30.083333,3.0,,1.203333,2.5,4,3.333333,0.9025,1.0,3.61
2025-08-13,2026-02-16,Career Pivot - Tech Is Not - 0226,active,"7-day click, 1-day view, or 1-day engaged-view",,,310,1.406452,,Using campaign budget,0,15.34,Ongoing,-,-,-,436,35.183486,4.0,,3.835,0.917431,9,2.06422,1.704444,2.0,7.67
2025-08-13,2026-02-16,Frustrated Learner - ad3 - 0226,active,"7-day click, 1-day view, or 1-day engaged-view",,,375,1.666667,,Using campaign budget,0,19.69,Ongoing,-,-,-,625,31.504,4.0,,4.9225,0.64,15,2.4,1.312667,2.0,9.845
2025-08-13,2026-02-16,Frustrated Learner - ad4 - 0226,active,"7-day click, 1-day view, or 1-day engaged-view",,,8280,1.338285,,Using campaign budget,0,305.69,Ongoing,Below average - Bottom 35% of ads,-,-,11081,27.58686,122.0,,2.505656,1.100984,240,2.16587,1.273708,105.0,2.911333
2025-08-13,2026-02-16,Frustrated Learner - IfUFinishedGDA1 - 0226,active,"7-day click, 1-day view, or 1-day engaged-view",,,9155,1.249481,,Using campaign budget,0,378.35,Ongoing,Average,-,-,11439,33.075444,167.0,,2.265569,1.459918,304,2.657575,1.244572,142.0,2.664437
