Reporting starts,Reporting ends,Ad name,Ad delivery,Attribution setting,Results,Result indicator,Reach,Frequency,Cost per results,Ad set budget,Ad set budget type,Amount spent (USD),Ends,Quality ranking,Engagement rate ranking,Conversion rate ranking,Impressions,"CPM (cost per 1,000 impressions) (USD)",Link clicks,shop_clicks,CPC (cost per link click) (USD),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all) (USD),Landing page views,Cost per landing page view (USD)
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,51,1.117647,,80,Daily,1.32,Ongoing,-,-,-,57,23.157895,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,13,1.230769,,80,Daily,0.27,Ongoing,-,-,-,16,16.875,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,391,1.104859,,80,Daily,49.43,Ongoing,-,-,-,432,114.421296,9.0,,5.492222,2.083333,11,2.546296,4.493636,,
2025-08-13,2026-02-16,New Leads Ad - Copy,not_delivering,"7-day click, 1-day view, or 1-day engaged-view",26.0,conversions:offsite_conversion.fb_pixel_custom.Hyros Call,26818,4.011858,147.845,80,Daily,3843.97,Ongoing,-,-,-,107590,35.727949,1477.0,,2.602552,1.372804,2380,2.212102,1.615113,13.0,295.69
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,81,1.234568,,80,Daily,9.03,Ongoing,-,-,-,100,90.3,6.0,,1.505,6.0,8,8.0,1.12875,1.0,9.03
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,191,1.246073,,80,Daily,20.79,Ongoing,-,-,-,238,87.352941,6.0,,3.465,2.521008,8,3.361345,2.59875,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,1432,1.338687,,80,Daily,134.24,Ongoing,-,-,-,1917,70.026082,37.0,,3.628108,1.930099,80,4.173187,1.678,1.0,134.24
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",2.0,conversions:offsite_conversion.fb_pixel_custom.Hyros Call,863,1.243337,49.99,80,Daily,99.98,Ongoing,-,-,-,1073,93.178006,15.0,,6.665333,1.39795,24,2.236719,4.165833,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,948,1.335443,,80,Daily,100.4,Ongoing,-,-,-,1266,79.304897,19.0,,5.284211,1.50079,24,1.895735,4.183333,,
2025-08-13,2026-02-16,New Leads Ad - Copy,not_delivering,"7-day click, 1-day view, or 1-day engaged-view",2.0,conversions:offsite_conversion.fb_pixel_custom.Hyros Call,2521,1.714002,126.32,80,Daily,252.64,Ongoing,-,-,-,4321,58.467947,73.0,,3.460822,1.689424,111,2.56885,2.276036,1.0,252.64
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,96,1.208333,,80,Daily,3.89,Ongoing,-,-,-,116,33.534483,1.0,,3.89,0.862069,1,0.862069,3.89,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,41,1.04878,,80,Daily,2.09,Ongoing,-,-,-,43,48.604651,,,,,1,2.325581,2.09,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,22,1.090909,,80,Daily,0.94,Ongoing,-,-,-,24,39.166667,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,10,1.0,,80,Daily,0.61,Ongoing,-,-,-,10,61.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,1386,1.296537,,80,Daily,102.71,Ongoing,-,-,-,1797,57.156372,36.0,,2.853056,2.003339,44,2.448525,2.334318,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,33,1.151515,,80,Daily,2.54,Ongoing,-,-,-,38,66.842105,1.0,,2.54,2.631579,1,2.631579,2.54,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,693,1.220779,,80,Daily,40.7,Ongoing,-,-,-,846,48.108747,12.0,,3.391667,1.41844,19,2.245863,2.142105,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,5,1.0,,80,Daily,0.17,Ongoing,-,-,-,5,34.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,2,1.0,,80,Daily,0.01,Ongoing,-,-,-,2,5.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,not_delivering,"7-day click, 1-day view, or 1-day engaged-view",21.0,conversions:offsite_conversion.fb_pixel_custom.Hyros Call,15883,2.663288,101.53238095,80,Daily,2132.18,Ongoing,-,-,-,42301,50.404955,972.0,,2.193601,2.297818,1792,4.236306,1.189833,15.0,142.145333
2025-08-13,2026-02-16,New Leads Ad - Copy,not_delivering,"7-day click, 1-day view, or 1-day engaged-view",12.0,conversions:offsite_conversion.fb_pixel_custom.Hyros Call,10436,1.776064,96.12416667,80,Daily,1153.49,Ongoing,-,-,-,18535,62.233073,528.0,,2.18464,2.848665,1194,6.441867,0.966072,14.0,82.392143
2025-08-13,2026-02-16,New Leads Ad - Copy,not_delivering,"7-day click, 1-day view, or 1-day engaged-view",7.0,conversions:offsite_conversion.fb_pixel_custom.Hyros Call,7183,2.570931,362.31,80,Daily,2536.17,Ongoing,-,-,-,18467,137.335247,689.0,,3.680943,3.73098,873,4.727351,2.90512,6.0,422.695
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,6,1.833333,,80,Daily,0.54,Ongoing,-,-,-,11,49.090909,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,378,1.224868,,80,Daily,17.45,Ongoing,-,-,-,463,37.688985,5.0,,3.49,1.079914,6,1.295896,2.908333,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,424,1.051887,,80,Daily,6.42,Ongoing,-,-,-,446,14.394619,5.0,,1.284,1.121076,6,1.345291,1.07,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,10,1.0,,80,Daily,0.14,Ongoing,-,-,-,10,14.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,211,1.175355,,80,Daily,10.57,Ongoing,-,-,-,248,42.620968,5.0,,2.114,2.016129,6,2.419355,1.761667,,
2025-08-13,2026-02-16,New Leads Ad - Copy 2,archived,"7-day click, 1-day view, or 1-day engaged-view",,,346,1.063584,,80,Daily,13.99,Ongoing,-,-,-,368,38.016304,4.0,,3.4975,1.086957,10,2.717391,1.399,,
2025-08-13,2026-02-16,New Leads Ad - Copy 2,archived,"7-day click, 1-day view, or 1-day engaged-view",,,66,1.19697,,80,Daily,3.49,Ongoing,-,-,-,79,44.177215,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy 3,not_delivering,"7-day click, 1-day view, or 1-day engaged-view",1.0,conversions:offsite_conversion.fb_pixel_custom.Hyros Call,2210,1.538914,97.79,80,Daily,97.79,Ongoing,-,-,-,3401,28.753308,14.0,,6.985,0.411644,86,2.528668,1.137093,,
2025-08-13,2026-02-16,New Leads Ad - Copy 3,archived,"7-day click, 1-day view, or 1-day engaged-view",,,63,1.142857,,80,Daily,4.66,Ongoing,-,-,-,72,64.722222,,,,,2,2.777778,2.33,,
2025-08-13,2026-02-16,New Leads Ad - Copy 3,archived,"7-day click, 1-day view, or 1-day engaged-view",,,88,1.056818,,80,Daily,5.13,Ongoing,-,-,-,93,55.16129,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy 3,not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,1127,1.480035,,80,Daily,48.49,Ongoing,-,-,-,1668,29.070743,9.0,,5.387778,0.539568,30,1.798561,1.616333,,
2025-08-13,2026-02-16,New Leads Ad - Copy 3,archived,"7-day click, 1-day view, or 1-day engaged-view",,,60,1.233333,,80,Daily,3.08,Ongoing,-,-,-,74,41.621622,1.0,,3.08,1.351351,2,2.702703,1.54,,
2025-08-13,2026-02-16,New Leads Ad - Copy 4,archived,"7-day click, 1-day view, or 1-day engaged-view",,,72,1.027778,,80,Daily,0.38,Ongoing,-,-,-,74,5.135135,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy 4,archived,"7-day click, 1-day view, or 1-day engaged-view",,,19,1.052632,,80,Daily,0.82,Ongoing,-,-,-,20,41.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy 4,archived,"7-day click, 1-day view, or 1-day engaged-view",,,137,1.058394,,80,Daily,9.16,Ongoing,-,-,-,145,63.172414,4.0,,2.29,2.758621,5,3.448276,1.832,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,214,1.098131,,62,Daily,15.02,Ongoing,-,-,-,235,63.914894,11.0,,1.365455,4.680851,15,6.382979,1.001333,1.0,15.02
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,11,1.181818,,31,Daily,0.8,Ongoing,-,-,-,13,61.538462,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,98,1.091837,,62,Daily,9.46,Ongoing,-,-,-,107,88.411215,3.0,,3.153333,2.803738,2,1.869159,4.73,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,2,1.5,,31,Daily,0.08,Ongoing,-,-,-,3,26.666667,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,15,1.2,,62,Daily,0.39,Ongoing,-,-,-,18,21.666667,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,56,1.160714,,62,Daily,2.5,Ongoing,-,-,-,65,38.461538,1.0,,2.5,1.538462,1,1.538462,2.5,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,2,1.0,,31,Daily,0.29,Ongoing,-,-,-,2,145.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,67,2.089552,,31,Daily,12.2,Ongoing,-,-,-,140,87.142857,9.0,,1.355556,6.428571,10,7.142857,1.22,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,61,1.016393,,62,Daily,1.34,Ongoing,-,-,-,62,21.612903,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",2.0,conversions:offsite_conversion.fb_pixel_custom.Hyros Call,1134,1.282187,48.855,62,Daily,97.71,Ongoing,-,-,-,1454,67.200825,26.0,,3.758077,1.788171,41,2.819807,2.383171,1.0,97.71
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,7,1.0,,62,Daily,0.13,Ongoing,-,-,-,7,18.571429,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,30,1.2,,31,Daily,2.18,Ongoing,-,-,-,36,60.555556,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,2,1.0,,62,Daily,0.01,Ongoing,-,-,-,2,5.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy 2,archived,"7-day click, 1-day view, or 1-day engaged-view",,,7,1.0,,62,Daily,0.14,Ongoing,-,-,-,7,20.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,3,1.333333,,31,Daily,0.23,Ongoing,-,-,-,4,57.5,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy 3,archived,"7-day click, 1-day view, or 1-day engaged-view",,,60,1.016667,,62,Daily,1.34,Ongoing,-,-,-,61,21.967213,1.0,,1.34,1.639344,1,1.639344,1.34,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,71,1.014085,,62,Daily,0.03,Ongoing,-,-,-,72,0.416667,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy 3,archived,"7-day click, 1-day view, or 1-day engaged-view",,,23,1.0,,62,Daily,0.37,Ongoing,-,-,-,23,16.086957,,,,,1,4.347826,0.37,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",1.0,conversions:offsite_conversion.fb_pixel_custom.Hyros Call,384,2.182292,61.71,31,Daily,61.71,Ongoing,-,-,-,838,73.639618,18.0,,3.428333,2.147971,30,3.579952,2.057,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,46,1.0,,62,Daily,4.65,Ongoing,-,-,-,46,101.086957,3.0,,1.55,6.521739,2,4.347826,2.325,,
2025-08-13,2026-02-16,New Leads Ad - Copy 3,archived,"7-day click, 1-day view, or 1-day engaged-view",,,25,1.4,,31,Daily,2.34,Ongoing,-,-,-,35,66.857143,,,,,3,8.571429,0.78,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,5,1.2,,31,Daily,0.22,Ongoing,-,-,-,6,36.666667,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",1.0,conversions:offsite_conversion.fb_pixel_custom.Hyros Call,1434,1.251046,140.46,62,Daily,140.46,Ongoing,-,-,-,1794,78.294314,38.0,,3.696316,2.118172,55,3.065775,2.553818,2.0,70.23
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,4,1.0,,62,Daily,0.04,Ongoing,-,-,-,4,10.0,,,,,0,0.0,0.0,,
