Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%),yt_handle
8UnzeRafSHc,"Bootcamps are flashy, not for learning.",29-Sep-25,46.0,1598,7.7825,6,0.056,11492,2.33,@yt_9_29_2025
vd415F_Yopw,How I Became a Data Analyst and ACTUALLY Got Hired (Copy Me),30-Sep-25,623.0,6255,403.2391,100,43.275,107156,3.65,@yt_9_30_2025
6h97jBAOjzQ,Focus on these 3 in-demand skills.,1-Oct-25,49.0,6450,51.2943,29,0.512,73032,4.1,@yt_10_1_2025
5MBWfuVuvgg,Meta SQL Interview Question: Page With No Likes,2-Oct-22,427.0,273,7.8607,0,0.648,1173,6.31,@yt_10_2_2022
L3iD_fiwvLI,Don't Become a Data Analyst (Do THIS Instead),2-Oct-25,635.0,158312,10178.7391,7238,1306.002,3904031,2.62,@yt_10_2_2025
sE7UnndDqa8,Companies still care about your degree??,3-Oct-25,55.0,1739,12.0052,4,0.158,11741,3.0,@yt_10_3_2025
qF8_nGw1NI8,5 Boring But High Paying Data Analyst Jobs in 2026,6-Oct-25,689.0,5767,450.4053,103,58.674,95603,3.47,@yt_10_6_2025
nRHhCXTSMGg,Companies are not hiring analysts anymore...,8-Oct-25,83.0,3785,43.1237,12,0.412,25631,4.8,@yt_10_8_2025
OZVUUftNHH8,Data Analyst vs Data Scientist (What I'd Choose in 2026),9-Oct-25,461.0,5159,299.1944,91,25.298,76616,4.12,@yt_10_9_2025
JiPIV-fCvsw,Learn these skills and you'll be in demand,10-Oct-25,135.0,4376,80.6953,27,0.503,35798,4.83,@yt_10_10_2025
#NAME?,Why You MUST Go All In on Data Analytics & AI in 2026,20-Oct-25,705.0,123214,7248.3216,5050,762.759,2070240,3.75,@yt_10_20_2025
at_XfhjAeBo,The ONLY 5 Data Analyst Skills That Will Actually Matter in 2026,23-Oct-25,891.0,63393,4376.6129,2055,425.067,1087046,3.84,@yt_10_23_2025
6N-a3aUSAKU,Robinhood SQL Interview Question: Cities with Completed Trades,24-Oct-22,650.0,52,3.3506,0,0.222,1218,2.22,@yt_10_24_2022
Ia-K-VGi9jo,AI Just Changed the Data Analyst Job Market Forever,27-Oct-25,558.0,8640,520.6203,137,68.011,134093,4.13,@yt_10_27_2025
z5u7ryOb1es,6 FACTS I Wish I Knew Before Becoming a Data Analyst,30-Oct-25,599.0,5058,368.0808,89,38.688,86844,3.34,@yt_10_30_2025
gmosQxI4zbw,Your resume is no longer enough in this data analyst job market.,31-Oct-25,62.0,3975,26.5834,11,0.321,9941,3.17,@yt_10_31_2025
pZ5wU4ajONw,The Entry-Level Data Analyst Job is a Lie,3-Nov-25,572.0,6170,393.8142,102,41.332,99604,4.07,@yt_11_3_2025
2eprf2CVjoM,AI is replacing traditional coding jobs,4-Nov-25,37.0,3570,14.5553,2,0.237,7770,2.39,@yt_11_4_2025
2pE7UWLOTHQ,Ranking Data Jobs for 2026 (From $50k Hell to $169k Roles),5-Nov-25,971.0,9304,836.7685,110,95.919,159296,3.77,@yt_11_5_2025
jw-wX2En76k,Employers don’t trust claims. They trust results.,7-Nov-25,62.0,2033,14.4709,7,0.167,11078,2.14,@yt_11_7_2025
#NAME?,Land A Data Analyst Job With Networking & AI,8-Nov-25,3626.0,1292,151.7832,7,3.427,31572,1.87,@yt_11_8_2025
6I3GraG0ubg,The ONLY Way You Can Get Hired in Data Analytics,10-Nov-25,480.0,5922,319.7151,71,38.76,82758,4.53,@yt_11_10_2025
PQbOClq_s1A,Don't Become a Data Scientist (Do THIS Instead),17-Nov-25,711.0,9271,733.6257,154,73.259,194995,2.9,@yt_11_17_2025
6nCwi1c4YGs,Don't Apply for a Data Analyst Job Until You Watch This,20-Nov-25,485.0,4930,260.6901,50,24.965,71066,4.63,@yt_11_20_2025
VUOznCNVshE,Uber SQL Interview Question: User's Third Transaction,21-Nov-22,445.0,41,1.8347,1,0.066,1266,1.97,@yt_11_21_2022
9Br36UZXGn4,Take This Test Before You Choose Your Data Career,24-Nov-25,900.0,4572,393.4242,35,44.248,75870,3.63,@yt_11_24_2025
U0cOleFSELY,Data Career Coach Ranks Learning Paths 1-10,28-Nov-25,71.0,2650,20.7177,4,0.267,11137,4.78,@yt_11_28_2025
D7x_eIkaf9k,Stop Letting Job Descriptions Scare You,29-Nov-25,65.0,2022,15.6426,5,0.217,9147,2.51,@yt_11_29_2025
#NAME?,The Most Important Skills to Be Successful in Data,30-Nov-22,149.0,1,0.033,0,,25,0.0,@yt_11_30_2022
f_EFZsbra1E,3 Things You Must Do Before Applying to Data Analyst Jobs,30-Nov-25,86.0,1734,16.3382,6,0.185,9934,3.57,@yt_11_30_2025
YydD3npqL40,Your Data Analyst Job Isn’t Safe...,1-Dec-25,943.0,3052,249.0032,30,29.833,55852,3.31,@yt_12_1_2025
52f3YsZtuls,Important Skills to Be Successful in Data: Part II,2-Dec-22,100.0,16,0.2362,0,0.018,92,14.13,@yt_12_2_2022
9uPGIPQ27zU,Did We All Get Played? The College Degree Scam,2-Dec-25,47.0,2325,10.0946,2,0.248,12583,3.26,@yt_12_2_2025
ekUOpSQm3Og,Nobody Is Hiring Data Analysts In 2026,3-Dec-25,499.0,9692,536.6705,132,64.774,123413,5.14,@yt_12_3_2025
pnJqZeqY9EU,Stop using LinkedIn Easy Apply,3-Dec-25,93.0,4877,55.6386,18,0.536,39735,4.17,@yt_12_3_2025
vTjcVZ-zlZI,You're NOT Ready for The Next Phase of Data Analytics,5-Dec-25,987.0,5876,519.0972,75,37.637,100441,3.73,@yt_12_5_2025
5Ygg3RYf830,Live Data Analyst Resume Review with REAL Tech Recruiters,5-Dec-25,3922.0,543,72.5378,0,0.207,13656,1.98,@yt_12_5_2025
VuNXMuL3wwU,Live Data Analyst Resume Review with REAL Tech Recruiters 📱,5-Dec-25,3920.0,500,48.8925,2,0.039,12661,1.6,@yt_12_5_2025
HPWlrUtXsUg,The Data Analytics Path That Actually Works,12-Dec-25,1003.0,64125,5435.4712,2662,542.159,1233360,3.3,@yt_12_12_2025
6RRCBGqmmQQ,The 5 Data Analyst Levels and How to Reach Them,15-Dec-25,643.0,4358,314.6526,60,33.415,70516,3.69,@yt_12_15_2025
7tc6Qa5MiZY,Most Data Analysts Miss This Skill Completely...,17-Dec-25,664.0,3013,184.4936,36,21.428,51198,3.65,@yt_12_17_2025
DAo2KHf8esk,"This is Boring, But It'll Get You a Data Analyst Job in 2026",22-Dec-25,537.0,4343,254.1234,49,32.263,59892,4.57,@yt_12_22_2025
