Unique ID,Join Date,Last Source Date,First source,Last source
272092-079,2026-02-06 06:43:00,2026-02-07 11:57:00,@yt_2_2_2026,@yt_2_2_2026
941836-080,2026-02-06 00:56:00,2026-02-11 09:40:00,@linkedin_organic,@google_organic
434664-081,2026-02-05 21:24:00,2026-02-05 21:19:00,@yt_2_2_2026,@yt_2_2_2026
746223-082,2026-02-05 18:08:00,-,-,-
233776-083,2026-02-05 16:47:00,2026-02-04 11:35:00,@all-combined-targetscreatives,@all-combined-targetscreatives
692225-084,2026-02-05 16:03:00,2026-02-05 20:05:00,@yt_10_20_2025,@yt_10_20_2025
960885-085,2026-02-05 15:09:00,-,-,-
670496-086,2026-02-05 14:48:00,2026-02-05 13:55:00,@yt_6_30_2025,@yt_6_30_2025
296463-087,2026-02-05 13:23:00,2026-02-05 13:45:00,@yt_12_12_2025,@yt_1_2_2026
449777-088,2026-02-05 12:32:00,-,-,-
494920-089,2026-02-05 12:23:00,-,-,-
696612-090,2026-02-05 11:20:00,-,-,-
346564-091,2026-02-05 10:49:00,-,-,-
765633-092,2026-02-05 10:34:00,-,-,-
412572-093,2026-02-05 10:30:00,-,-,-
395824-094,2026-02-05 09:57:00,-,-,-
991981-095,2026-02-05 09:37:00,-,-,-
247340-096,2026-02-05 04:59:00,2026-02-05 04:46:00,@yt_12_12_2025,@yt_12_12_2025
320664-097,2026-02-04 21:36:00,-,-,-
336990-098,2026-02-04 17:55:00,2026-02-04 17:49:00,@yt_6_30_2025,@yt_6_30_2025
669367-099,2026-02-04 16:13:00,2026-01-29 12:01:00,@all-combined-targetscreatives,@all-combined-targetscreatives
441433-100,2026-02-04 16:13:00,2026-02-04 16:08:00,@google_organic,@all-combined-targetscreatives
727913-101,2026-02-04 16:07:00,-,-,-
900272-102,2026-02-04 16:05:00,-,-,-
750787-103,2026-02-04 15:45:00,-,-,-
954846-104,2026-02-04 15:40:00,2026-02-04 15:23:00,@all-combined-targetscreatives,@all-combined-targetscreatives
483881-105,2026-02-04 14:35:00,2026-02-04 11:11:00,@yt_2_2_2026,@yt_2_2_2026
800056-106,2026-02-04 14:35:00,2026-02-04 15:22:00,@all-combined-targetscreatives,@all-combined-targetscreatives
346132-107,2026-02-04 13:01:00,-,-,-
596837-108,2026-02-04 12:22:00,-,-,-
328044-109,2026-02-04 11:41:00,2026-02-04 11:32:00,@all-combined-targetscreatives,@all-combined-targetscreatives
961857-110,2026-02-04 09:44:00,-,-,-
118884-111,2026-02-04 06:48:00,-,-,-
562152-112,2026-02-03 19:47:00,2026-02-03 19:39:00,@all-combined-targetscreatives,@yt_bio
220589-113,2026-02-03 18:31:00,-,-,-
435842-114,2026-02-03 15:37:00,2026-02-02 20:27:00,@yt_bio,@linkedinbio
769157-115,2026-02-03 14:43:00,2026-01-29 21:57:00,@all-combined-targetscreatives,@all-combined-targetscreatives
600475-116,2026-02-03 13:42:00,-,-,-
236306-117,2026-02-03 13:21:00,-,-,-
747298-118,2026-02-03 09:32:00,-,-,-
570403-119,2026-02-03 07:11:00,2026-01-27 13:23:00,@all-combined-targetscreatives,@all-combined-targetscreatives
239615-120,2026-02-03 06:45:00,2026-02-03 06:43:00,@all-combined-targetscreatives,@all-combined-targetscreatives
857096-121,2026-02-03 04:41:00,2026-01-28 13:14:00,@kedeisha-test-ads,@kedeisha-test-ads
570732-122,2026-02-03 03:54:00,2026-02-03 03:48:00,@all-combined-targetscreatives,@all-combined-targetscreatives
580426-123,2026-02-03 01:30:00,2026-02-03 01:26:00,@all-combined-targetscreatives,@all-combined-targetscreatives
